Date,Close,High,Low,Open,Volume
8/2/2021,141.8459167,143.239805,141.5827295,142.6647049,62880000
8/3/2021,143.6394653,144.3022896,141.5144981,142.1285967,64786600
8/4/2021,143.2397919,144.0585799,142.5867099,143.5517196,56368300
8/5/2021,143.3470001,144.1073054,142.4794716,143.2690182,46397700
8/6/2021,142.6636505,143.6105775,142.1657877,142.8686616,54126800
8/9/2021,142.6148529,143.210343,142.0584196,142.7222369,48908700
8/10/2021,142.1365509,144.1963599,141.8436842,142.9565659,69023100
8/11/2021,142.3902893,143.2298323,142.0681375,142.575772,48493500
8/12/2021,145.3482666,145.5044642,142.3708157,142.712496,72282600
8/13/2021,145.553299,145.8852076,144.7430407,145.4263866,59375000
8/16/2021,147.525238,147.5935801,142.9858556,145.0066078,103296000
8/17/2021,146.6173248,148.0718716,145.5434854,146.6563668,92229700
8/18/2021,142.8784637,147.1347509,142.6734526,146.2366372,86326000
8/19/2021,143.2103271,144.479406,141.0626633,141.5800546,86960300
8/20/2021,144.664917,144.9675405,143.2884539,143.9327577,60549600
8/23/2021,146.1487885,146.6173663,144.3720744,144.7820819,60131800
8/24/2021,146.0608368,147.2713451,145.602016,145.8948825,48606400
8/25/2021,144.8308716,146.7442544,144.284195,146.2463766,58991300
8/26/2021,144.0303802,145.5727977,144.0010951,144.8211249,48597200
8/27/2021,145.065155,145.2115809,143.3372551,143.9717871,55802400
8/30/2021,149.4776459,149.8388546,145.0749331,145.4556553,90956700
8/31/2021,148.2183533,149.1652806,147.6911902,149.0286115,86453100
9/1/2021,148.8821564,151.2934023,148.716202,149.1945515,80313700
9/2/2021,149.9950256,151.03958,148.7747602,150.2097935,71115500
9/3/2021,150.6295929,150.9517448,149.4483692,150.1024298,57808700
9/7/2021,152.962738,153.5191714,150.7174463,151.2836514,82278300
9/8/2021,151.4202881,153.3043706,150.3171634,153.2458003,74420200
9/9/2021,150.4050293,152.3964957,150.2878737,151.7912489,57305700
9/10/2021,145.4263458,151.7814825,145.1627643,151.3129047,140893200
9/13/2021,145.9925385,147.8180505,145.2115657,147.0468494,102404300
9/14/2021,144.5965576,147.4763957,143.4153491,146.7735217,109296300
9/15/2021,145.4849243,145.885175,142.8881959,145.0261033,83281300
9/16/2021,145.2506409,145.4263669,143.7179951,144.9089755,68034100
9/17/2021,142.5855713,145.2799269,142.2927046,145.2799269,129868800
9/20/2021,139.5398102,141.3946079,137.9095372,140.3793535,123478900
9/21/2021,140.0181274,141.160309,139.3835954,140.5062336,75834000
9/22/2021,142.3805542,142.9467442,140.281689,141.0138482,76404300
9/23/2021,143.3372803,143.5813334,142.175585,143.1615543,64838200
9/24/2021,143.4251099,143.9620296,142.0974605,142.1950877,53477900
9/27/2021,141.9119873,142.4879639,140.39887,142.0096145,74150700
9/28/2021,138.5343018,141.3067413,138.3195338,139.8424228,108972300
9/29/2021,139.4324036,141.0138627,138.6514308,139.0809665,74602000
9/30/2021,138.1340485,140.9455448,137.9192806,140.2426707,89056700
10/1/2021,139.2566681,139.5202496,135.8008834,138.5245089,94639600
10/4/2021,135.8302002,138.8271796,134.9809001,138.3878721,98322000
10/5/2021,137.7533417,138.8564665,136.0449699,136.1718822,80861100
10/6/2021,138.6221619,138.7685878,135.0785061,136.1523457,83221100
10/7/2021,139.881485,140.7893704,139.3250516,139.6569603,61732700
10/8/2021,139.5007629,140.7503138,139.1688543,140.6038879,58773200
10/11/2021,139.4128876,141.3653123,138.4366752,138.8857394,64452200
10/12/2021,138.1438141,139.8424291,137.6849931,139.8229006,73035900
10/13/2021,137.5580902,138.0364247,135.8887605,137.8802421,78762700
10/14/2021,140.340271,140.4574266,138.1437934,138.7295267,69907100
10/15/2021,141.394577,141.4531474,140.096213,140.3500377,67940300
10/18/2021,143.0639191,143.3470141,139.7545599,140.0376549,85589200
10/19/2021,145.2213287,145.6215793,143.063908,143.5129573,76378900
10/20/2021,145.7094574,146.1878068,144.5965759,145.1627808,58418800
10/21/2021,145.9242249,146.0804224,144.3525223,145.2701643,61421000
10/22/2021,145.1530304,146.6075774,145.1042168,146.1292428,58883400
10/25/2021,145.1042328,145.8168638,144.1084918,145.1432747,50720600
10/26/2021,145.7680206,147.2518525,145.4653823,145.7777774,60893400
10/27/2021,145.3092194,146.1682761,144.9577823,145.8070823,56094900
10/28/2021,148.9407349,149.5264534,146.1585235,146.2561507,100077900
10/29/2021,146.2366333,146.3733025,142.9272736,143.7180033,124953200
11/1/2021,145.4166107,146.1389984,144.2842007,145.4458959,74588300
11/2/2021,146.4514008,147.9645331,145.1139795,145.1237512,69122000
11/3/2021,147.8864288,148.3550066,146.2561558,146.8125892,54511500
11/4/2021,147.3690186,148.804037,147.0566235,147.9742654,60394600
11/5/2021,147.8969269,148.7963511,146.7042085,148.4932861,65463900
11/8/2021,147.0757141,148.1804487,146.8019769,148.0240232,55020900
11/9/2021,147.4374542,148.0435845,146.7042264,146.841095,56787900
