Date,Close,High,Low,Open,Volume
3/1/2022,288.1233215,296.6266785,284.5933228,289.8933411,74766900
3/2/2022,293.2966614,295.4933472,281.4233398,290.7099915,74643300
3/3/2022,279.7633362,295.480011,277.5333252,292.9233398,61623600
3/4/2022,279.4299927,285.2166748,275.0533447,283.0333252,66999600
3/7/2022,268.1933289,288.7133179,268.1900024,285.4333191,72494100
3/8/2022,274.7999878,283.3299866,260.7233276,265.1766663,80399100
3/9/2022,286.3233337,286.8533325,277.3366699,279.8266602,59184000
3/10/2022,279.4333191,284.8166809,270.1199951,283.8166809,58648500
3/11/2022,265.1166687,281.2666626,264.5899963,280.0666809,67037100
3/14/2022,255.456665,266.8999939,252.0133362,260.2033386,71152200
3/15/2022,267.2966614,268.5233459,252.1900024,258.4233398,66841200
3/16/2022,280.0766602,280.6666565,267.4200134,269.6666565,84028800
3/17/2022,290.5333252,291.6666565,275.2399902,276.9966736,66582900
3/18/2022,301.7966614,302.6166687,289.1300049,291.4966736,100414200
3/21/2022,307.0533447,314.2833252,302.3633423,304.9933472,81981600
3/22/2022,331.3266602,332.6199951,307.25,310,105868500
3/23/2022,333.0366821,346.8999939,325.4666748,326.6466675,120676200
3/24/2022,337.9733276,341.4966736,329.6000061,336.5766602,68920800
3/25/2022,336.8800049,340.6000061,332.4400024,336,62031600
3/28/2022,363.9466553,365.9599915,351.2000122,355.0333252,102506100
3/29/2022,366.5233459,371.5899963,357.7033386,369.3299866,73614900
3/30/2022,364.6633301,371.3166809,361.3333435,363.7233276,59865000
3/31/2022,359.2000122,367.7133179,358.8800049,364.8566589,48992700
4/1/2022,361.5299988,364.9166565,355.5466614,360.3833313,54263100
4/4/2022,381.8166809,383.3033447,357.5100098,363.1266785,82035900
4/5/2022,363.7533264,384.2900085,362.4333191,378.7666626,80075100
4/6/2022,348.5866699,359.6666565,342.5666809,357.8233337,89348400
4/7/2022,352.4200134,358.8633423,340.5133362,350.7966614,79447200
4/8/2022,341.8299866,349.480011,340.813324,347.7366638,55013700
4/11/2022,325.3099976,336.1566772,324.8800049,326.7999878,59357100
4/12/2022,328.9833374,340.3966675,325.5333252,332.5466614,65976000
4/13/2022,340.7900085,342.0799866,324.3666687,327.0266724,55121100
4/14/2022,328.3333435,337.5700073,327.3966675,333.0966797,58422300
4/18/2022,334.7633362,338.3066711,324.4700012,329.6766663,51715200
4/19/2022,342.7166748,344.980011,331.7766724,335.019989,49847700
4/20/2022,325.7333374,344.6666565,325.0833435,343.3333435,70711200
4/21/2022,336.2600098,364.0733337,332.1400146,358.2433472,105416400
