Date,Close,High,Low,Open,Volume
8/2/2021,133.6692352,134.1469935,132.6180552,133.929425,21634000
8/3/2021,134.437912,134.5390053,132.1477186,133.9472524,20762000
8/4/2021,133.937851,134.4572474,133.3049589,134.1598812,19676000
8/5/2021,135.0539551,135.1516,133.660806,134.4879746,17870000
8/6/2021,134.5454407,135.272998,134.0215976,134.8462856,20488000
8/9/2021,135.7096252,135.9782546,134.1499536,134.7476657,17760000
8/10/2021,135.6045685,136.5615823,135.1659529,136.1348547,19414000
8/11/2021,135.0812378,136.4723906,135.0737965,135.975802,15352000
8/12/2021,135.9881592,136.0932303,134.2352094,134.7803632,16506000
8/13/2021,136.5169678,136.6448469,135.8285833,136.0436713,15948000
8/16/2021,137.0938568,137.1463999,134.1098188,136.3162519,22384000
8/17/2021,135.4603729,137.0502791,134.8859679,136.539307,21716000
8/18/2021,134.2584839,135.8994353,134.1321021,135.3002411,19258000
8/19/2021,134.4874725,135.1540624,133.0700484,133.2539191,21782000
8/20/2021,136.2216034,136.3450056,134.0612552,134.8046633,31194000
8/23/2021,138.8106384,139.6363096,136.3980259,136.7568437,28454000
8/24/2021,140.0199127,140.8312154,139.1050211,139.3756167,19268000
8/25/2021,140.8302307,140.9397636,140.1334218,140.3802262,15848000
8/26/2021,140.1973419,141.1657446,140.1145646,140.5041157,20610000
8/27/2021,142.7382965,143.2423263,140.2533277,140.4074632,28780000
8/30/2021,143.3196564,144.687532,142.8959083,143.1308248,24434000
8/31/2021,143.425705,143.8955379,143.012877,143.8712628,22448000
9/1/2021,143.9391785,144.9685489,143.6100957,143.7255727,21936000
9/2/2021,142.0276337,144.2405101,141.9265252,143.9396803,32342000
9/3/2021,142.47612,142.8879649,141.1488845,141.8229156,19850000
9/7/2021,143.0123749,143.2943744,142.35669,142.5702958,20124000
9/8/2021,142.4280396,143.1308075,141.7431187,142.8334564,18344000
9/9/2021,142.2793884,143.0421259,141.9190884,142.5762556,15314000
9/10/2021,139.6378174,143.4465436,139.5010298,142.9449791,36840000
9/13/2021,141.0815125,141.6935778,140.0085225,140.701868,22094000
9/14/2021,141.2916412,142.1029591,140.5041296,141.7386813,19674000
9/15/2021,143.1600647,143.1808762,140.1051527,141.5166327,27408000
9/16/2021,142.3477936,143.0317315,141.1499191,142.6853008,26190000
9/17/2021,139.5624847,142.1891873,139.2353834,141.7733797,53384000
9/20/2021,137.5002594,137.7782963,135.1238401,136.9471651,46518000
9/21/2021,137.8110046,138.7809047,137.0626357,138.5211989,25332000
9/22/2021,139.0505066,139.6487026,137.3337349,138.0796234,25056000
9/23/2021,139.9748077,140.4510837,139.1674677,139.7483157,20952000
